Title,Author,Publication,Date,Year,URL,Bibcode,DOI,Instruments
Strong Nebular Line Ratios in the Spectra of z ~ 2-3 Star Forming Galaxies: First Results from KBSS-MOSFIRE,Steidel C. | Rudie G. | Strom A. | et. al.,ApJ 795 165,2014 11,2014,arXiv:1405.5473,2014ApJ...795..165S,10.1088/0004-637X/795/2/165,"{'nirspec': 4, 'lris': 19, 'mosfire': 122, 'osiris': 2}"
Imaging of the Stellar Population of IC 10 with Laser Guide Star Adaptive Optics and the Hubble Space Telescope,Vacca W. | Sheehy C. | Graham J.,ApJ 662 272,2007 06,2007,arXiv:astro-ph/0701628,2007ApJ...662..272V,10.1086/516725,{'nirc': 17}
High resolution science with high redshift galaxies,Windhorst R. | Hathi N. | Cohen S. | et. al.,AdSpR 41 1965,2008 00,2008,arXiv:astro-ph/0703171,2008AdSpR..41.1965W,10.1016/j.asr.2007.07.005,{}
On the Distribution of Orbital Eccentricities for Very Low-mass Binaries,Dupuy T. | Liu M.,ApJ 733 122,2011 06,2011,arXiv:1103.5744,2011ApJ...733..122D,10.1088/0004-637X/733/2/122,{'nirc': 1}
"Hyades Oxygen Abundances from the λ6300 [O I] Line: The Giant-Dwarf Oxygen Discrepancy Revisited1,",Schuler S. | Hatzes A. | King J. | et. al.,AJ 131 1057,2006 02,2006,arXiv:astro-ph/0510721,2006AJ....131.1057S,10.1086/499103,{}
Low-Mass Seyfert 2 Galaxies in the Sloan Digital Sky Survey,Barth A. | Greene J. | Ho L.,AJ 136 1179,2008 09,2008,arXiv:0807.3316,2008AJ....136.1179B,10.1088/0004-6256/136/3/1179,"{'lris': 2, 'esi': 22}"
K2-136: A Binary System in the Hyades Cluster Hosting a Neptune-sized Planet,Ciardi D. | Crossfield I. | Feinstein A. | et. al.,AJ 155 10,2018 01,2018,arXiv:1709.10398,2018AJ....155...10C,10.3847/1538-3881/aa9921,{'nirc': 2}
A Comprehensive Study of Infrared OH Prompt Emission in Two Comets. I. Observations and Effective g-Factors,Bonev B. | Mumma M. | DiSanti M. | et. al.,ApJ 653 774,2006 12,2006,,2006ApJ...653..774B,10.1086/508452,{'nirspec': 11}
The Dusty AGB Star RS CrB: First Mid-Infrared Interferometric Observations with the Keck Telescopes,Mennesson B. | Koresko C. | Creech-Eakman M. | et. al.,ApJL 634 L169,2005 12,2005,arXiv:astro-ph/0511425,2005ApJ...634L.169M,10.1086/498864,{}
The Sloan Digital Sky Survey-II Supernova Survey: Search Algorithm and Follow-up Observations,Sako M. | Bassett B. | Becker A. | et. al.,AJ 135 348,2008 01,2008,arXiv:0708.2750,2008AJ....135..348S,10.1088/0004-6256/135/1/348,{}
